submission_id,parent,relationship,linked,
55,Outdoor activities,includes,"Gardening, Outings, Car rides, Walking outside, Driving car, Bus travel",
56,Friendship,includes,"Relating easily, Isolation*, Sharing feelings, Ease of social contact, Feeling separated*, Loneliness*, Feeling friendless*",
56,Relationships,includes,"Friendship, Positive relationships",
56,,related,"Sharing feelings, Emotional intimacy, Relational closeness, Companionship",
56,,related,"Isolation*, Companionship",
56,,related,"Ease of social contact, Social contact",
57,Functional status,includes,"Physical function, Psychological function, Social function, Role function",
57,Physical function,includes,"Eating, Dressing, Bathing, Moving, Walking, Housework, Gardening, Cleaning, Errands, Grocery shopping, Driving a car, Using public transportation, Running, Heavy lifting, Sports",
57,,related,"Gardening, Yard work",
57,Psychological function,includes,"Anxiety*, Calmness, Peacefulness, Feeling downhearted*, Feeling blue*, Happiness, Feeling down*",
57,,related,"Feeling downhearted*, Feeling down*",
57,Role function,includes,"Work hours, Performance, Job security",
57,Social function,includes,"Visiting relatives, Visiting friends, Community activity, Religious participtation, Social activities, Volunteering",
57,Visiting,includes,"Visiting relatives, Visiting friends",
57,,related,"Community activity, Community",
58,Causality orientation,includes,"Impersonal orientation, Control orientation, Autonomy orientation",
59,Self-efficacy,includes,"General self-efficacy, Social self-efficacy",
59,General self-efficacy,includes,"Planfulness, Procrastination*, Persistence, Achievement, Perseverance, Avoidance*, Grit, Problem-solving, Learning from failure, Unsure of ability*, Self-reliance, Giving up easily*, Capability",
59,Social self-efficacy,includes,"Making friends, Social initiative, Social persistence, Social intelligence, Social skill",
59,,related,"Self-efficacy, Competence",
60,General well-being,includes,"Self-control, Positive well-being, General health, Anxiety*, Depression*, Vitality",
60,General well-being,includes,"Good spirits, Anxiety*, Self-regulation, Sadness*, Feeling discouraged*, Hopelessness*, Stress*, Strain*, Pressure*, Happiness, Life satisfaction, Worry*, Feeling upset*, Feeling rested, Feeling refreshed, Physical symptoms*, Interest, Feeling downhearted*, Feeling blue*, Emotional stability, Self-assurance, Health concerns*, Relaxation, Energy, Depression*, Cheerfulness",
61,Motivation,includes,"Eudiamonic motives, Hedonic motives",
61,Eudiamonic motives,includes,"Pursuing excellence, Pursuing personal ideals, Using strengths, Learning, Development, Following beliefs",
61,Hedonic motives,includes,"Enjoyment, Pleasure, Fun, Relaxation, Taking it easy",
62,Hope,includes,"Temporality and future, Positive readiness, Interconnectedness ",
62,Temporality and future,includes,"Goals, Positive outlook, Sense of potential, Anxiety*",
62,,related,"Positive readiness, Positive expectancy",
62,Positive readiness,includes,"Expecting good things, Sense of direction, Value of life, Worthwhileness, Positive recall",
62,,related,"Positive recall, Positive reflection, Savouring",
62,Interconnectedness,includes,"Loneliness*, Faith, Inner strength, Care, Love",
63,Hardiness,includes,"Commitment, Control, Challenge",
64,Hardiness,includes,"Commitment, Control, Challenge",
64,Control,includes,"Nihilism*, External locus of control*, Powerlessness*, Achievement, Dominance, Leadersihp",
64,Commitment,includes,"Self-alienation*, Work alienation*, Interpersonal alienation*, Family alientation*, Social alienation*, Role consistency",
64,Challenge,includes,"Vegetativeness*, Security, Cognitive structure, Adventurousness, Endurance, Interest",
65,Health status,includes,"General health, Carrying groceries, Climbing stairs, Walking, Physical difficulty*, Accomplishment, Emotional problems*, Depression*, Anxiety*, Social activities, Pain*",
66,Health status,includes,"Sensation, Mobility, Emotion, Cognition, Self-care, Pain*, Fertility",
66,Sensation,includes,"Seeing, Hearing Speaking",
66,Mobility,includes,"Walking, Bending, Lifting, Jumping, Running",
66,Emotion,includes,"Happiness, Worry*, Anger*, Irritability*, Anxiety*, Depression*, Night terrors*, Fretful*",
66,Cognition,includes,"Learning, Recall",
66,Self-care,includes,"Eating, Bathing, Dressing, Sanitary facilities",
66,Pain*,includes,"Pain relief*, Medication*, Discomfort*, Disruption of activities*",
67,Capability wellbeing,includes,"Security, Love, Independence, Achievement, Enjoyment",
67,,related,"Security, Feeling settled, Stability",
67,,related,"Love, Friendship, Support",
67,,related,"Independence, Independent living, Autonomy",
67,,related,"Achievement, Progress",
67,,related,"Enjoyment, Pleasure",
68,Wellbeing,includes,"Overall wellbeing, Interpersonal wellbeing, Community wellbeing, Occupational wellbeing, Physical wellbeing, Psychological wellbeing, Economic wellbeing",
68,Overall wellbeing,includes,"Present overall wellbeing, Past overall wellbeing, Future overall wellbeing",
68,Interpersonal wellbeing,includes,"Present interpersonal wellbeing, Past interpersonal wellbeing, Future interpersonal wellbeing",
68,,related,"Interpersonal wellbeing, Relationships, Positive relationships",
68,Community wellbeing,includes,"Present community wellbeing, Past community wellbeing, Future community wellbeing",
68,,related,"Community wellbeing, Community, Belonging",
68,Occupational wellbeing,includes,"Present occupational wellbeing, Past occupational wellbeing, Future occupational wellbeing",
68,,related,"Occupational wellbeing, Work wellbeing, Wellbeing at work",
68,Physical wellbeing,includes,"Present physical wellbeing, Past physical wellbeing, Future physical wellbeing",
68,,related,"Physical wellbeing, Physical health, Physiological health",
68,Psychological wellbeing,includes,"Present psychological wellbeing, Past psychological wellbeing, Future psychological wellbeing",
68,Economic wellbeing,includes,"Present economic wellbeing, Past economic wellbeing, Future economic wellbeing",
68,,related,"Economic wellbeing, Financial security, Financial situation",
68,,related,"Future overall wellbeing, Future interpersonal wellbeing, Future community wellbeing, Future occupational wellbeing, Future physical wellbeing, Future psychological wellbeing, Future economic wellbeing, Optimism, Hope ",
69,Quality of life,includes,"Day-to-day functioning, Self-esteem, Health status, Energy level",
69,Day-to-day functioning,includes,"Work, Home life, Social life, Interacting with others",
69,,related,"Interacting with others, Social interaction, Relationships",
69,,related,"Home life, Family life, Family",
69,Self-esteem,includes,"Body image, Appearance, Mood, Emotional control, Stress*, Fear*, Sense of achievement",
69,,related,"Sense of achievement, Achievement, Accomplishment",
69,,related,"Fear*, Anxiety*",
69,,related,"Emotional control, Emotion regulation, Emotional regulation",
69,Health status,includes,"Life expectancy, Aches*, Pain*, Sleep, Rest, Comfort, Illness*, Medication*",
69,,related,"Health status, Physical health",
69,Energy level,includes,"Activity level, Sex life, Stamina, Endurance, Pleasure, Hobbies, Entertainment",
70,Life satisfaction,includes,"Enjoyment, Full life, Rewarding life, Opportunity, Interest, Hope, Friendship, Worthwhileness, Freedom, Ease",
70,,related,"Enjoyment, Misery*",
70,,related,"Full life, Emptiness*",
70,,related,"Rewarding life, Disappointment*",
70,,related,"Opportunity, Lack of opportunity*",
70,,related,"Interest, Boredom*",
70,,related,"Hope, Discouragement*",
70,,related,"Friendship, Loneliness*",
70,,related,"Worthwhileness, Uselessness*",
70,,related,"Freedom, Tied-down*",
70,,related,"Ease, Difficulty*",
71,Positive psychological attitudes,includes,"Life purpose, Life satisfaction, Self-confidence",
71,Life purpose,includes,"Energy level, Vibrancy, Satisfaction, Novelty, Purpose, Productivity, Valuable work, Dissatisfaction with self*, Life goals, Positive when sad, Worthwhileness, Life satisfaction, Joy, Trapped*, Regret*, Love, Hope",
71,Self-confidence,includes,"Calm under pressure, Anxiety*, Fear*, Self-compassion, Worry*, Concentration, Assertiveness, Adequacy, Frustration*, Respond well to stress, Peacefulness, Calmness",
71,,related,"Respond well to stress, Resilience",
71,,related,"Self-compassion, Kind to self, Self-acceptance",
72,Social support,includes,"Tangible support, Belonging, Support appraisal, Self-esteem",
72,Tangible support,includes,"Financial support, Material support, Networking assistance, Illness support, Family support, Time together, Help",
72,Belonging,includes,"Exercise groups, Time together, Romance, Social availability, Friendship, Social groups, Religious membership, Club membership, Team membership, Loneliness*, Isolation*, Physical affection, Inclusion, Family, Conversation, Social activities",
72,,related,"Lack of physical touch*, Physical affection, Physical touch",
72,Support appraisal,includes,"Social support, Conversation, Assistance, Advice availability, Confidants, Someone to confide in, Social assistance, Emotional assistance, Coaching, Mentoring",
72,,related,"Confidants, People to confide in",
72,Self-esteem,includes,"Social regard, Social esteem, Percieved social status, Optimism, Social comparison, Humor, Desirability, Internal locus of control, Attractiveness",
72,,related,"Percieved social status, Social status",
72,Social comparison,includes,"Downward social comparison, Upward social comparison*",
72,,related,"Body image, Appearance, Attractiveness",
73,Coping,includes,"Confrontive coping, Evasive coping*, Optimistic coping*, Fatalistic coping*, Emotive coping, Palliative coping, Supportive coping, Self-reliant coping",
73,Confrontive coping,includes,"Pathways thinking, Perspective-taking, Agency, Goal chunking, Problem-solving, Action planning, Mental rehearsal, Learning",
73,Evasive coping*,includes,"Escapism*, Self-distraction*, Fantasy*, Blaming others, Passivity*, Excessive sleep*, Procrastination*, Avoidance*, Ignoring problem*, Minimalization*, Social avoidance*, Self-pity*",
73,Optimistic coping,includes,"Hope, Counterfactual thinking, Routine, Optimism, Humor, Appreciation, Downward social comparison, Positive thinking, Benefit-finding",
73,,related,"Humor, Humour",
73,,related,"Appreciation, Gratitude",
73,Fatalistic coping*,includes,"Expecting the worst*, Acceptance, Resignation*, Hopelessness*, Optimistic explanation",
73,,related,"Expecting the worst*, Catastrophizing*",
73,Emotive coping,includes,"Worry*, Blowing off steam, Projecting problems onto others*, Impulsiveness*, Self-blame* ",
73,Palliative coping,includes,"Comfort eating, Smoking*, Exercise, Physical activity, Relaxation techniques, Alcohol use*, Redirection, Absorption, Medication",
73,Supportive coping,includes,"Discuss problem, Professional support, Prayer, Trust in God, Social help",
73,Self-reliant coping,includes,"Emotional expression, Solitude, Self-belief, Problem-solving, Self-improvement",
74,Spiritual wellbeing,includes,"Faith/belief, Life satisfaction, Life/self-responsibility",
74,Faith/belief,includes,"Spiritual belief, Purpose in life, Spiritual lifestyle, Prayer, Belief in supreme power, Belief in life after death",
74,Life satisfaction,includes,"Actualisation, goal-setting, acceptance, Loving relationships, self-esteem",
74,,related,"Loving relationships, Love, Relationships",
74,Life/self-responsibility,includes,"Belief in a supreme power, Foregiveness, Acceptance, Decision-making",
74,,related,"Decision-making, Decisiveness",
75,Quality of life,includes,"Physical function, Cognitive function, Life satisfaction, Self-care, Social funtion, Sexual function, Depression*, Anxiety*",
75,Physical function,includes,"Physical health, Sleep, Tiredness*, Lack of energy*, Accomplishment, Day-to-day functioning, Health problems*",
75,Self-care,includes,"Climbing stairs, Dressing, Eating, Bathing, Showering, Shopping, Using public transport",
75,,related,"Health problems*, Role limitations (physical)*",
75,Depression*,includes,"Anxiety*, Limitations (emotional)*, Feeling blue*",
75,,related,"Limitations (emotional)*, Role limitations (emotional)*",
75,Cognitive function,includes,"Concentration, Clear thinking, Confusion*, Thinking problems*, Limitations (cognitive)*, Memory",
75,Social function,includes,"Social ties, Relationships, Social satisfaction, Relational satisfaction, Social support",
75,Sexual function,includes,"Libido, Sexual experience frequency",
75,Life satisfaction,includes,"Hobbies, Recreation, Financial situation, Financial satisfaction, Standard of living, Financial freedom, Past life satisfaction, Optimism, Expectations",
76,Life habits,includes,"Communication, Mobility, Nutrition, Physical fitness, Psychological well-being, Personal care, Housing, Responsibilities, Interpersonal relationships, Community, Spiritual life, Education, Work, Recreation",
76,Communication,includes,"Interpersonal communication, Writing, Use of technology, Use of media",
76,Mobility,includes,"Moving, Walking, Getting around, Using a car, Using public transport",
76,Nutrition,includes,"Making a grocery list, Food planning, Meal preparation, Eating, Eating out, Using vending machines",
76,Physical fitness,includes,"Getting out of bed, Sleep, Sleep quality, Physical activity, Walking, Group exercise",
76,Psychological well-being,includes,"Yoga, Meditation, Listening to music, Mental stimulation",
76,Personal care,includes,"Hygene, Using sanitary facilities, Dressing, Using personal equipment, Medication, Using health care services",
76,,related,"Personal care, Self-care",
76,,related,"Using health care services, Health care, Health care services",
76,Housing,includes,"Accomodation, Orderliness, Home maintanence, Chores, Housework, Cleaning, Laundry, Furniture ",
76,Responsibilities,includes,"Purchasing goods, Making payments, Budgeting, Abiding by laws, Defending own rights, Providing social support, Assistance, Education, Pets",
76,Interpersonal relationships,includes,"Emotional relationships, Partnering, Intimacy, Moral support, Family bonds, Encouragement, Friendship, Neighbours, Sexual relationship",
76,Sexual relationship,includes,"Contraceptive use, STD protection",
76,Community,includes,"Association membership, Sports, Recreation, Art, Cultural groups, Advocacy, Rights groups, Politics, Social groups, Self-help groups",
76,Spiritual life,includes,"Spiritual activities, Church, Worship",
76,,related,"Community, Spiritual life",
76,Education,includes,"School, Professional training, Team work, Home work, Extra-curricular activities",
76,Work,includes,"Trade, Profession, Job-seeking, Work, Internship, Volunteering, Domestic tasks",
76,Recreation,includes,"Physical activity, Recreation, Sport, Music, Dance, Craft, Sporting events, Cultural events, Sightseeing, Outdoor recreation, Recreational facilities",
77,Life satisfaction,includes,"Life as a whole, Vocation, Economy, Leisure, Contacts, Sexual life, Daily activities, Family life, Partner relationship, Somatic health, Psychological health",
77,,related,"Somatic health, Physical health",
77,,related,"Sexual life, Sex life, Sex",
77,,related,"Vocation, Work",
77,,related,"Daily activities, Day-to-day functioning",
77,,related,"Contacts, Social contact, Relationships",
77,,related,"Partner relationship, Romantic relationship, Partnering",
78,Life orientation,includes,"Positive expectation, Negative expectation*, Benefit-finding, Optimism, Hope, Hopelessness*, Pessimism*",
78,,related,"Positive expectation, Expecting the best",
78,,related,"Negative expectation*, Expecting the worst*",
79,Life satisfaction,includes,"Life circumstances, Making the best of life circumstances",
79,Life circumstances,includes,"Past life circumstanes, Present life circumstances",
79,Making the best of life circumstances,includes,"Making the best of past life circumstnaces, Making the best of present life circumstances",
80,Affect,includes,"Anxiety*, Positive affect, Depression*, Hostility*, Sensation-seeking",
80,Anxiety*,includes,"Fear*, Fright*, Panic*, Tenseness*",
80,Depression*,includes,"Loneliness*, Feeling forlogn*, Feeling lost*, Misery*",
80,Hostility*,includes,"Annoyance*, Criticalness*, Cruelty*, Disagreeableness*",
80,Sensation-seeking,includes,"Adverturousness, Daring, Energetic",
80,,related,"Energetic, Energy, Vitality",
80,,related,"Daring, Courage",
81,Coping,includes,"Monitoring, Blunting",
82,Positive emotion,includes,"Joy, Gratitude, Serenity, Interest, Hope, Pride, Amusement, Inspiration, Awe, Love",
82,Joy,includes,"Gladness, Happiness, Play",
82,Gratitude,includes,"Gratefulness, Appreciation, Thankfulness",
82,Serenity,includes,"Contentment, Peace, Peacefulness, Savouring",
82,Interest,includes,"Alertness, Curiosity, Learning, Exploration",
82,Hope,includes,"Optimism, Encouragement, Planning, Resilience, Expecting the worst*",
82,Pride,includes,"Achievement, Confidence, Self-assurance",
82,Amusement,includes,"Fun, Silliness, Joviality, Laughter",
82,Inspiration,includes,"Uplift, Elevation, Motivation, Personal growth, Excellence",
82,Awe,includes,"Wonder, Amazement, Beauty, Goodness",
82,Love,includes,"Closeness, Trust, Care, Social bonds",
82,,related,"Closeness, Intimacy",
82,,related,"Social bonds, Social relationships, Relationships",
83,Mental health,includes,"Emotional wellbeing, Social wellbeing, Psychological wellbeing",
83,Emotional wellbeing,includes,"Positive affect, Life satisfaction",
83,Social wellbeing,includes,"Social acceptance, Social actualization, Social contribution, Social coherence, Social integration",
83,Psychological wellbeing,includes,"Autonomy, Environmental mastery, Personal growth, Positive relations, Purpose, Self-acceptance",
84,Locus of control,includes,"Chance externality, Internality, Powerful other externality",
85,Meaning,includes,"Presence of meaning, Search for meaning*",
85,Presence of meaning,includes,"Understanding, Purpose, Clarity, Meaningfulness, Mission, Significance, Discovery, Satisfaction",
85,Search for meaning*,includes,"Lack of meaning*, Meaninglessness*, Lack of clarity*, Insignificance*",
86,Wellbeing,includes,"Mental wellbeing, Physical wellbeing, Spiritual wellbeing",
87,Quality of life,includes,"Psychological symptoms*, Outlook on life, Physical symptoms*, Meaningful existence",
87,Physical symptoms*,includes,"Pain*, Tiredness*, Weakness*, Nausea*, Constipation*, Diarrhoea*, Trouble sleeping*, Shortness of breath*, Lack of appetite*, Feeling well",
87,,related,"Trouble sleeping*, Sleep",
87,,related,"Lack of appetite*, Eating",
87,Psychological symptoms*,includes,"Depression*, Anxiety*, Sadness*",
87,Outlook on life,includes,"Optimism, Control, Feeling good about self, ",
87,Meaningful existence,includes,"Achievement, Life goals, Fulfilment, Worthwhileness",
88,Social support,includes,"Family, Friends, Significant others",
88,Family,includes,"Emotional help, Emotional support, Talk about problems, Help with decisions",
88,Friends,includes,"Help, People to count on, Share joy, Share sorrow, Talk about problems",
88,Significant others,includes,"Share joy, Share sorrow, Comfort, Emotional care, Companionship",
88,,related,"Friends, Friendship",
89,Social support,includes,"Emotional support, Tangible support, Positive social interaction, Affectionate support",
89,Emotional support,includes,"Informational support, Listening, Confidant, Share concerns, Empathy, Advice, Information",
89,,related,Positive social interaction,Positive relationships
89,Tangible support,includes,"Physical assistance, Transportation, Meal preparation, Help with chores",
89,Affectionate support,includes,"Love, Affection, Hugging",
89,Positive social interaction,includes,"Enjoy time together, Relaxation",
90,Happiness,includes,"Negative affect*, Negative experience*, Positive affect, Positive experience",
90,Negative affect*,includes,"Boredom*, Bitterness*, Feeling flustered*, Depression*, Unhappiness*, Loneliness*",
90,Positive affect,includes,"High spirits, Feeling lucky, Contentment, Elavation, Life satisfaction ",
90,Negative experience*,includes,"Negative life evaluation*, Happiness, Boredom*, Interest, Life satisfaction, Pessimism*, Negative expectation*, Loneliness*, Bother*, Worthlessness*, Difficulty*",
90,Positive experience,includes,"Happiness, Interest, Life satisfaction, Physical health",
91,Health,includes,"Physical mobility, Social isolation*, Pain*, Sleep, Emotional reaction, Energy level, Problems for life quality*",
91,,related,"Problems for life quality*, Quality of life",
91,Energy level,includes,"Tireness*, Feels like effort*, Endurance",
91,Emotional reaction,includes,"Feeling down*, Anhedonia*, Anxiety*, Boredom*, Losing temper easily*, Lack of control*, Worry*, Worthlessness*, Depression*",
91,,related,"Losing temper easily*, Anger*",
91,Sleep,includes,"Medication, Broken sleep*, Insomnia*, Difficulty falling asleep*, Sleep quality",
91,Social isolation*,includes,"Loneliness*, Hard to contact others*, Closeness, Feeling a burden to others*, Social skills",
91,,related,"Feeling a burden to others*, Self-esteem",
91,,related,"Hard to contact others*, Social intelligence, Social skills",
91,Physical mobility,includes,"Walking, Flexibility, Climbing stairs, Reaching, Dressing, Standing",
91,,related,"Physical mobility, Physical ability",
91,,related,"Flexibility, Bending",
91,Problems for life quality*,includes,"Work, Domestic chores, Social life, Sex life, Interests, Hobbies, Vacations",
91,,related,"Quality of life, Problems for quality of life*",
92,Needs,includes,"Autonomy, Competence, Self-actualization, Money, Relatedness, Physical thriving, Popularity, Pleasure, Security, Self-esteem",
92,,related,"Self-actualization, Self-actualisation",
92,Autonomy,includes,"Choice, Freedom, Self-expression, Authenticity",
92,Competence,includes,"Success, Accomplishment, Mastery, Capability",
92,Relatedness,includes,"Social contact, Care, Closeness, Connection, Intimacy",
92,,related,"Social contact, Spending time with others",
92,Self-actualization,includes,"Meaning, Authenticity, Purpose, Self-understanding, Understanding, Sense of place, Comprehensability",
92,Physical thriving,includes,"Physical exercise, Physical condition, Nutrition, Physical well-being",
92,Pleasure,includes,"Stimulation, Sensation, Novelty, Pleasure, Physical pleasure, Enjoyment, Variety",
92,Money,includes,"Luxury, Wealth, Possessions, Financial wealth, Financial means",
92,Security,includes,"Structure, Predictability, Comfort, Routine, Habits, Safety, Threats*, Uncertainty*",
92,Self-esteem,includes,"Positive self-evaluation, Satisfaction with self, Self-respect",
92,Popularity,includes,"Social desirability, Influence, Impact",
93,Happiness,includes,"Satisfaction with self, Interest in others, Gratification, Goodwill, Sleep quality, Optimism, Amusement, Involvement, Positive life evaluation, Negative worldview*, Laughter, Life satisfaction, Attractiveness, Accomplishment, Appreciation of beauty, Cheerfulness, Achievement, Time management, Control, Self-efficacy, Alertness, Joy, Elation, Decision-making, Meaning, Purpose, Energy, Agency, Fun, Health, Positive memories",
93,,related,"Appreciation of beauty, Beauty",
94,Optimal Living Profile,includes,"Intellectual health, EnvironMental health",
94,Emotional health,includes,"Anxiety*, Depression*, Well-being, Self-control, Optimism",
94,EnvironMental health,includes,"Home, Work, Environmental impact on individual, Impact on environment, Interaction",
94,Intellectual health,includes,"Personal growth, Education, Achievement, Creativity",
94,Physical health,includes,"Fitness, Nutrition, Harmful behavior*, Prevention, Early recognition",
94,Social health,includes,"Getting along with others, Social influence, Social interaction",
94,Spiritual health,includes,"Purpose, Love, Peace, Joy, Giving, Fulfillment, Helping others",
94,,related,"Helping others, Pro-social behavior",
94,,related,"Getting along with others, Positive relationships",
95,National well-being,includes,"Personal well-being, Relationships, Health, What we do, Where we live, Personal finance, Education, Economy, Governance, Environment",
95,Personal well-being,includes,"Life satisfaction, Worthwhileness, Happiness, Anxiety*, Hope, Fairness",
95,Relationships,includes,"Partner relationship, Social relationships, People to rely on, Loneliness*, Trust",
95,Health,includes,"Life expectancy, Satisfaction with health, Physical health conditions*, Depression*, Satisfaction with healthcare",
95,Physical health conditions*,includes,"Cancer*, Cardiovascular conditions*, Dementia*, Diabetes*, Kidney disease*, Liver disease*, Musculoskeletal conditions*, Respiratory conditions*",
95,,related,"Depression*, Anxiety*",
95,What we do,includes,"Satisfaction with time use, Job satisfaction, Unpaid work, Volunteering, Arts, Sport, Nature",
95,Arts,includes,"Culture, Creative activities, Artistic activities, Cultural events, Artistic events",
95,Nature,includes,Nature contact,
95,Where we live,includes,"Satisfaction with accomodation, Satisfaction with local area, Belonging, Local connectivity, Internet, Crime*, Safety",
95,Belonging,includes,Neighbourhood,
95,Personal finance,includes,"Income, Wealth, Income inequality*, Gender pay gap*, Financial difficulty*",
95,Education,includes,"Skills, Qualifications, Human capital, Satisfaction with education, Satisfaction with education system",
95,,related,"Satisfaction with education system, Education system",
95,Economy,includes,"Unemployment*, Inflation rate, Public sector debt*, Consumer confidence",
95,Governance,includes,"Voter participation, Trust in government, Political voice, Satisfaction with police, Satisfaction with legal system",
95,Environment,includes,"Emissions*, Renewable energy use, Recycling, Protected areas, Species diversity, Air pollution*, Surface water quality, Sustainable lifestyle",
96,Personal well-being,includes,"Life satisfaction, Worthwhileness, Happiness, Anxiety*",
97,Happiness,includes,"Meaning, Pleasure, Engagement",
97,Meaning,includes,"Purpose, Contribution, Responsibility, Mattering, Sense of place, Choice",
97,Pleasure,includes,"Pleasure-seeking, Euphoria, Choice, Short-term view, Excitement, Stimulation",
97,Engagement,includes,"Distorted sense of time, Challenge, Skill-challenge balance, Loss of self-awareness, Absorbtion, Choice, Losing sense of self, Distraction*",
98,Ontological well-being,includes,"Nothingness*, Hope, Regret*, Activation",
98,Nothingness*,includes,"Aimlessness*, Feeling lost*, Irresponsibility*, Emptiness*, Helplessness*, Anxiety*",
98,,related,"Irresponsibility*, Responsibility",
98,,related,"Aimlessness*, Purpose",
98,Hope,includes,"Courage, Strength, Forward-looking, Hopefulness, Confidence, Ambition",
98,Regret*,includes,"Satisfaction, Guilt*, Pride, Feeling upset*, Incompetence*, Disappointment*",
98,Activation,includes,"Energetic, Excitement, Enthusiasm, Tiredness*, Motivation",
98,,related,"Energy, Energetic",
99,Affect,includes,"Positive affect, Negative affect*",
99,Positive affect,includes,"Interest, Excitement, Strength, Enthusiasm, Pride, Alertness, Inspiration, Determinedness, Attentiveness, Active",
99,Negative affect*,includes,"Distress*, Feeling upset*, Guilt*, Feeling scared*, Hostility*, Irritability*, Shame*, Nervousness*, Feeling jittery*, Feeling afraid*",
99,,related,"Feeling afraid*, Fear*",
100,Flourishing,includes,"Positive emotion, Engagement, Relationships, Meaning, Accomplishment, Negative emotion*, Physical health, Loneliness*, Happiness",
100,Positive emotion,includes,"Joy, Feeling positive, Contentment",
100,Engagement,includes,"Absorbtion, Excitement, Interest, Distorted sense of time",
100,Relationships,includes,"Help, Support, Love, Relationship satisfaction",
100,Meaning,includes,"Purpose, Valuable activity, Worthwhileness, Direction",
100,Accomplishment,includes,"Progress, Goals, Achievement",
100,,related,"Positive emotion, Positive emotions",
100,,related,"Negative emotion*, Negative emotions*",
100,Negative emotion*,includes,"Sadness*, Anger*, Anxiety*",
100,Physical health,includes,"Satisfaction with health, Social comparison",
100,,related,"Health, Physical health",
101,Functioning,includes,"Positive functioning, Negative functioning*",
101,Positive functioning,includes,"Pleasedness, Enjoyment, Happiness, Contentment, Calmness, Relaxation",
101,Negative functioning*,includes,"Dissatisfaction*, Cheerlessness*, Meaninglessness*, Feeling upset*, Feeling tense*, Worry*",
102,Resilience,includes,"Social resources, Personal resources",
102,Social resources,includes,"Social resources (family), Social resources (peers)",
102,Social resources (family),includes,"Strength, Acceptance, Help, Comfort, Safety",
102,Social resources (peers),includes,"Belonging, Fair treatment, Being looked after, Support, Reliance",
102,,related,"Being looked after, Care",
102,Personal resources,includes,"Problem-solving, Achivement, Self-belief, Perseverance, Optimism",
102,Perseverance,includes,"Plans, Goals, Follow-through",
103,Coping style,includes,"Reflective style, Suppresive style, Reactive style",
103,,related,"Coping style, Coping",
103,Reflective style,includes,"Problem analysis, Anticipation, Preparation, Consideration of consequences, Alternative plans, Problem identification, Emotional awareness",
103,Suppresive style,includes,"Avoidance*, Frustration*, Concentration, Perseverance",
103,Reactive style,includes,"Pre-occupation*, Feeling uneasy*, Problem-solving, Emotional difficulty*",
104,Personal growth initiative,includes,"Readiness for change, Planfulness, Using resources, Intentional behavior",
104,,related,"Personal growth, Personal growth initiative",
104,Readiness for change,includes,"Awareness of need to change, Change planning",
104,Planfulness,includes,"Goals, Plans, Personal growth, Personal change, Intentional change, Steps",
104,Goals,includes,Realistic goals,
104,Plans,includes,Realistic plans,
104,Using resources,includes,"Asking for help, Seeking help",
104,Help,includes,"Asking for heltp, Seeking help",
104,Intentional behavior,includes,"Opportunity, Self-improvement, Growth",
104,Opportunity,includes,Looking for opportunities,
105,Health-related quality of life,includes,"Anxiety*, Depression*, Positive wellbeing, Self-control, General health, Vitality",
105,Positive wellbeing,includes,"Good spirits, Happiness, Satisfaction, Pleasedness, Interest, Cheerfulness, Lightheartedness",
105,General health,includes,"Illness*, Bodily disorder*, Aches*, Pain*, Daily activities, Health concerns*, Worry*",
105,Depression*,includes,"Feeling downhearted*, Feeling blue*, Sadness*, Discouragement*, Hopelessness*, Worthwhileness",
105,Self-control,includes,"Control, Emotional regulation, Self-regulation, Cognitive acquity, Stability, Sure of self",
105,Anxiety*,includes,"Nervousness*, Feeling tense*, Worry*, Feeling upset*, Relaxedness, Highly strung*, Tightness*, Strain*, Stress*, Pressure*",
105,Vitality,includes,"Energy, Pep, Rest, Sleep quality, Feeling active, Vigor, Dullness*, Sluggishness*, Tiredness*, Exhaustion*",
105,,related,"Positive wellbeing, Positive mental health",
106,Happiness,includes,"Hedonic wellbeing, General wellbeing, Negative experiences*, Positive experiences, Social wellbieng, Eudiamonic wellbeing",
106,,related,"Eudiamonic wellbieng, Eudemonic wellbeing, Eudiamonia",
106,General wellbeing,includes,"Life satisfaction, Energy",
106,Eudiamonic wellbeing,includes,"Usefulness, Worthwhileness, Satisfaction with self, Learning, Challenge, Growth, Connection, Problem-solving, Authenticity",
106,Hedonic wellbeing,includes,"Enjoyment, Unpleasant moments*",
106,Social wellbeing,includes,Self-actualization,
106,Positive experiences,includes,"Pride, Fun, Enjoyment, Interest, Learning, Gratification",
106,Negative experiences*,includes,"Overwhelm*, Boredom*, Worry*, Anger*, Disrespect*",
107,Wellbeing,includes,"Mental health, Social health, Physical health",
107,Mental health,includes,"Life satisfaction, Meaning, Autonomy, Competence, Relatedness, Positive affect, Negative affect*",
107,Life satisfaction,includes,"Comparison with ideal life, Life conditions, Achievement, Regret*",
107,Meaning,includes,"Purpose, Meaningful activities, Satisfying purpose",
107,Autonomy,includes,"Freedom, Decision-making, Self-expression, Authenticity",
107,Competence,includes,"Positive feedback, Accomplishment, Capability",
107,Relatedness,includes,"Getting along well, Social contact, Friendship, Regular interaction, Care",
107,Positive affect,includes,"Cheerfulness, Good spirits, Happiness, Calmness, Peacefulness, Satisfaction, Full of life",
107,,related,"Full of life, Vitality",
107,,related,"Peace, Peacefulness",
107,Negative affect*,includes,"Sadness*, Cheerfulness, Sense of effort*, Worthlessness*",
